trayectoria,S_T
0,824.082
1,1299.97
2,789.365
3,910.961
4,972.012
5,1039.9
6,1205.55
7,1165.32
8,1358.92
9,1017.66
10,644.409
11,835.773
12,1184.33
13,908.733
14,910.843
15,905.698
16,1075.95
17,1059.18
18,955.152
19,1168.66
20,808.078
21,1448.54
22,1322.67
23,1016.88
24,848.266
25,1664.67
26,1051.86
27,830.27
28,639.807
29,989.947
30,1348.07
31,1327.81
32,829.809
33,1015.21
34,941.884
35,1359.89
36,896.301
37,1028.61
38,967.767
39,1180.27
40,584.32
41,1018.18
42,847.78
43,978.222
44,1002.27
45,852.612
46,1084.68
47,1243.61
48,674.291
49,941.066
50,833.755
51,820.047
52,965.124
53,961.46
54,858.034
55,755.391
56,995.914
57,1352.2
58,721.779
59,994.722
60,1144.77
61,1000.66
62,1600.34
63,1090.78
64,1087.34
65,1039.72
66,894.205
67,1214.09
68,850.32
69,782.012
70,1557.59
71,1243.35
72,1411.98
73,1166.06
74,699.704
75,754.483
76,1062.33
77,1259.73
78,1013.44
79,1002.7
80,1167.78
81,1175.66
82,717.174
83,1545.2
84,1032.97
85,825.523
86,1062.9
87,1308.1
88,1064.23
89,663.524
90,979.743
91,1255.49
92,1291.86
93,945.551
94,1327.13
95,917.555
96,971.043
97,938.591
98,1311.83
99,1248.6
100,770.762
101,946.047
102,903.495
103,1275.38
104,1202.97
105,893.331
106,1334.9
107,1099.97
108,1113.98
109,902.883
110,881.341
111,1103.69
112,1411.15
113,1235.52
114,1077.22
115,809.843
116,982.798
117,1054.83
118,1140.13
119,772.931
120,1449.82
121,931.43
122,1246.68
123,1005.5
124,941.696
125,1260.11
126,1036.53
127,1024.65
128,1248.3
129,1362.91
130,866.581
131,1135.27
132,1081.79
133,1100.31
134,1182.6
135,956.383
136,804.811
137,1011.49
138,1145.69
139,1009.29
140,892.72
141,1075.64
142,1122.64
143,1371.81
144,1205.52
145,963.602
146,1001.95
147,750.049
148,898.505
149,1162.34
150,1149.32
151,1178.91
152,790.146
153,1379.3
154,1237.26
155,1079.77
156,753.472
157,870.085
158,1017.18
159,847.94
160,1025.07
161,1068.96
162,817.556
163,898
164,1001.05
165,1017.31
166,1092.92
167,958.104
168,876.905
169,1070.54
170,1161.42
171,1019.47
172,1346.41
173,1292.14
174,1120.15
175,955.522
176,957.638
177,1105.68
178,806.12
179,1459.13
180,1104.93
181,946.183
182,1223.05
183,877.218
184,1594.4
185,1072.3
186,932.671
187,1222.37
188,1034.97
189,1155.45
190,910.046
191,1091.23
192,926.987
193,1190.66
194,1076.66
195,1207.9
196,947.39
197,1146.68
198,723.604
199,827.141
200,1067.21
201,1217.49
202,1115.73
203,841.675
204,964.469
205,1507.52
206,1174.87
207,1002.84
208,898.361
209,1249.45
210,1170.68
211,1081.54
212,845.849
213,973.261
214,1091.86
215,1219.3
216,1019.13
217,822.865
218,1318.57
219,755.837
220,918.203
221,838.283
222,829.757
223,1052.78
224,946.712
225,1115.04
226,1004.86
227,879.167
228,871.034
229,886.001
230,1170.99
231,1226.61
232,847.031
233,826.62
234,880.813
235,883.091
236,1048.47
237,956.756
238,1105.41
239,1423.37
240,1193.73
241,815.734
242,1085.88
243,998.931
244,1140.75
245,1027.93
246,760.419
247,997.083
248,1006.19
249,859.351
250,1106.28
251,903.487
252,838.558
253,1506.54
254,883.322
255,788.05
256,1324.22
257,1095.57
258,1054.6
259,1579.53
260,1222.49
261,881.993
262,929.695
263,808.127
264,876.389
265,1264.22
266,1115.88
267,1466.2
268,958.17
269,971.793
270,952.858
271,971.419
272,1129.05
273,940.323
274,1153.78
275,995.43
276,1130.9
277,934.005
278,1184.13
279,998.753
280,732.363
281,1208.69
282,661.16
283,707.315
284,1043.74
285,1113.02
286,987.444
287,1260.31
288,980.094
289,1313.38
290,1021.27
291,983.709
292,1186.48
293,977.607
294,1009.19
295,1136.95
296,1039.92
297,1157.2
298,1215.38
299,653.949
300,1021.98
301,986.457
302,881.355
303,1073.41
304,1408.35
305,978.766
306,969.977
307,876.574
308,858.782
309,1280.32
310,1342.23
311,865.078
312,885.11
313,1118.35
314,838.05
315,923.764
316,1044.84
317,846.146
318,824.438
319,1190.08
320,1019.33
321,873.56
322,930.016
323,718.657
324,909.433
325,1255.42
326,928.15
327,1128.28
328,1083.67
329,1087.19
330,949.563
331,883.909
332,1217.89
333,1078.45
334,712.067
335,1067.17
336,1066.39
337,891.908
338,1270.89
339,1136.72
340,1116.48
341,1119.39
342,777.218
343,1093.89
344,808.635
345,992.775
346,1097.99
347,573.696
348,900.38
349,1565.09
350,1136.02
351,1178.2
352,1005.68
353,830.727
354,1244.37
355,1004.74
356,1170.81
357,963.288
358,1049.96
359,727.826
360,1582.35
361,810.831
362,1015.69
363,1289.52
364,1148.11
365,1070.12
366,1277.82
367,1192.34
368,1065.2
369,766.627
370,1012.62
371,1736.67
372,1078.6
373,964.744
374,931.491
375,979.087
376,753.375
377,1217.99
378,1275.94
379,789.619
380,1109.42
381,991.812
382,1112.01
383,959.428
384,682.408
385,948.577
386,1105.18
387,1027.22
388,826.219
389,924.347
390,996.266
391,1105.11
392,1265.02
393,861.448
394,763.848
395,1292.53
396,975.841
397,1348.41
398,1104.11
399,931.348
400,1091.74
401,1187.81
402,962.732
403,854.025
404,1039.16
405,1293.8
406,1270.25
407,1170.19
408,767.809
409,809.297
410,833.261
411,895.719
412,1194.66
413,1491.26
414,817.112
415,1202.03
416,1211.6
417,1136.65
418,1148.61
419,1267.16
420,1131.74
421,1530.23
422,827.866
423,942.977
424,1043.43
425,931.539
426,1172.01
427,1260.87
428,1158.62
429,850.147
430,1547.35
431,856.896
432,1289.59
433,1215.37
434,1085.78
435,901.508
436,801.802
437,1088.95
438,839.557
439,1091.28
440,1260.87
441,1291.67
442,1185.05
443,947.085
444,1051.68
445,917.035
446,1028.95
447,803.383
448,1055.1
449,1233.65
450,876.775
451,1168.47
452,1081.7
453,945.638
454,1020.3
455,1397.45
456,1268.02
457,819.375
458,1298.71
459,990.088
460,1040.5
461,1190.48
462,1090.35
463,991.761
464,1089.29
465,1047.03
466,1065.05
467,1555.82
468,977.754
469,1085.07
470,1194.22
471,906.813
472,918.577
473,992.345
474,1035.61
475,910.841
476,966.806
477,802.921
478,866.739
479,1442.88
480,1456.6
481,780.432
482,1327.39
483,1044.39
484,1183.71
485,982.9
486,1118.37
487,1038.52
488,1359.58
489,1051.9
490,1144.57
491,1790.26
492,1175.39
493,982.358
494,1164.8
495,1344.61
496,1246.31
497,1101.19
498,962.93
499,1132.62
500,1298.79
501,1551.79
502,1207.19
503,824.803
504,1233.26
505,841.696
506,935.762
507,1013.66
508,1394.71
509,960.898
510,931.893
511,790.752
512,976.315
513,1008.14
514,802.799
515,1741.37
516,835.724
517,1296.59
518,1395.04
519,994.889
520,949.17
521,769.223
522,959.481
523,1011.28
524,681.056
525,922.455
526,1364.13
527,629.928
528,1532.31
529,1257.22
530,1174.64
531,1193.92
532,969.842
533,1309.12
534,1446.63
535,1161.74
536,1123.3
537,1261.4
538,1119.48
539,1178.19
540,1036.82
541,819.849
542,1042.56
543,1106.61
544,921.139
545,677.674
546,859.362
547,1096.43
548,1093.09
549,1034.61
550,1002.91
551,1210.74
552,1282.42
553,1359.01
554,1316.79
555,872.241
556,1063.16
557,1016.26
558,1011.2
559,1176.96
560,1075.32
561,1448.27
562,1118.45
563,758.818
564,1264.8
565,1273.24
566,822.328
567,1041.55
568,1059.33
569,1192.31
570,1411.54
571,882.972
572,833.702
573,1012.43
574,1169.22
575,788.47
576,1003.92
577,829.606
578,1157.57
579,1460.43
580,901.442
581,915.467
582,1019.1
583,1056.4
584,1005.4
